Algorithm,Operation,Size_Label,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
AES-CBC,Decrypt,1KB,1.401,1.401,0.007,0.002,696.91
AES-CBC,Encrypt,1KB,1.978,1.976,0.01,0.004,493.7
AES-CCM,Decrypt,1KB,3.248,3.246,0.017,0.006,300.64
AES-CCM,Encrypt,1KB,2.476,2.476,0.005,0.002,394.48
AES-CFB,Decrypt,1KB,1.499,1.492,0.03,0.011,651.42
AES-CFB,Encrypt,1KB,2.046,2.045,0.012,0.004,477.25
AES-CTR,Decrypt,1KB,1.431,1.428,0.014,0.005,682.43
AES-CTR,Encrypt,1KB,1.437,1.436,0.01,0.004,679.57
AES-ECB,Decrypt,1KB,1.202,1.202,0.013,0.005,812.74
AES-ECB,Encrypt,1KB,1.192,1.19,0.013,0.005,819.54
AES-GCM,Decrypt,1KB,2.612,2.608,0.012,0.004,373.92
AES-GCM,Encrypt,1KB,1.897,1.896,0.01,0.004,514.72
AES-OFB,Decrypt,1KB,2.073,2.071,0.007,0.002,471.19
AES-OFB,Encrypt,1KB,2.074,2.073,0.007,0.003,470.76
AES-XTS,Decrypt,1KB,2.151,2.149,0.008,0.003,453.95
AES-XTS,Encrypt,1KB,2.14,2.14,0.01,0.004,456.31
AES-CBC,Decrypt,4KB,1.797,1.797,0.006,0.002,2173.88
AES-CBC,Encrypt,4KB,4.461,4.456,0.015,0.005,875.56
AES-CCM,Decrypt,4KB,6.042,6.042,0.016,0.006,646.49
AES-CCM,Encrypt,4KB,5.282,5.279,0.017,0.006,739.5
AES-CFB,Decrypt,4KB,2.126,2.124,0.009,0.003,1837.69
AES-CFB,Encrypt,4KB,4.498,4.498,0.01,0.004,868.35
AES-CTR,Decrypt,4KB,1.856,1.853,0.011,0.004,2104.96
AES-CTR,Encrypt,4KB,1.849,1.848,0.008,0.003,2113.05
AES-ECB,Decrypt,4KB,1.551,1.551,0.006,0.002,2518.97
AES-ECB,Encrypt,4KB,1.524,1.524,0.006,0.002,2563.21
AES-GCM,Decrypt,4KB,3.473,3.471,0.011,0.004,1124.67
AES-GCM,Encrypt,4KB,2.739,2.732,0.016,0.006,1426.32
AES-OFB,Decrypt,4KB,4.586,4.584,0.009,0.003,851.74
AES-OFB,Encrypt,4KB,4.593,4.588,0.013,0.005,850.44
AES-XTS,Decrypt,4KB,3.777,3.775,0.011,0.004,1034.17
AES-XTS,Encrypt,4KB,3.781,3.779,0.01,0.004,1033.03
AES-CBC,Decrypt,16KB,3.347,3.352,0.021,0.008,4668.41
AES-CBC,Encrypt,16KB,14.309,14.326,0.037,0.013,1092.01
AES-CCM,Decrypt,16KB,17.654,17.427,1.136,0.406,885.07
AES-CCM,Encrypt,16KB,16.699,16.697,0.022,0.008,935.66
AES-CFB,Decrypt,16KB,4.862,4.847,0.067,0.024,3213.48
AES-CFB,Encrypt,16KB,14.384,14.381,0.014,0.005,1086.29
AES-CTR,Decrypt,16KB,3.682,3.684,0.01,0.003,4243.23
AES-CTR,Encrypt,16KB,3.687,3.69,0.011,0.004,4237.67
AES-ECB,Decrypt,16KB,2.96,2.958,0.014,0.005,5278.42
AES-ECB,Encrypt,16KB,2.957,2.956,0.011,0.004,5283.6
AES-GCM,Decrypt,16KB,7.019,7.01,0.043,0.015,2226.11
AES-GCM,Encrypt,16KB,6.554,6.294,1.411,0.505,2383.93
AES-OFB,Decrypt,16KB,14.711,14.704,0.028,0.01,1062.1
AES-OFB,Encrypt,16KB,14.774,14.759,0.063,0.023,1057.57
AES-XTS,Decrypt,16KB,10.691,10.67,0.112,0.04,1461.46
AES-XTS,Encrypt,16KB,10.721,10.717,0.031,0.011,1457.35
AES-CBC,Decrypt,256KB,35.448,35.428,0.069,0.025,7052.68
AES-CBC,Encrypt,256KB,210.929,210.884,0.134,0.048,1185.23
AES-CCM,Decrypt,256KB,246.146,246.207,0.152,0.054,1015.66
AES-CCM,Encrypt,256KB,245.439,245.019,1.877,0.672,1018.58
AES-CFB,Decrypt,256KB,61.93,61.992,0.679,0.243,4036.8
AES-CFB,Encrypt,256KB,215.518,214.802,2.273,0.813,1160.0
AES-CTR,Decrypt,256KB,39.807,39.778,0.121,0.043,6280.35
AES-CTR,Encrypt,256KB,40.109,39.93,0.632,0.226,6233.05
AES-ECB,Decrypt,256KB,32.262,32.201,0.466,0.167,7749.09
AES-ECB,Encrypt,256KB,33.74,33.766,0.147,0.052,7409.64
AES-GCM,Decrypt,256KB,79.051,79.017,0.17,0.061,3162.52
AES-GCM,Encrypt,256KB,78.405,78.308,0.332,0.119,3188.58
AES-OFB,Decrypt,256KB,217.106,216.902,0.598,0.214,1151.51
AES-OFB,Encrypt,256KB,216.54,216.361,0.652,0.233,1154.52
AES-XTS,Decrypt,256KB,169.489,169.286,0.701,0.251,1475.02
AES-XTS,Encrypt,256KB,170.796,170.657,0.453,0.162,1463.74
AES-CBC,Decrypt,1MB,140.269,140.137,1.923,0.688,7129.16
AES-CBC,Encrypt,1MB,844.019,843.442,2.382,0.852,1184.81
AES-CCM,Decrypt,1MB,984.11,983.292,2.607,0.933,1016.15
AES-CCM,Encrypt,1MB,980.434,980.09,2.643,0.946,1019.96
AES-CFB,Decrypt,1MB,234.517,234.577,0.881,0.315,4264.08
AES-CFB,Encrypt,1MB,849.436,848.47,2.235,0.8,1177.25
AES-CTR,Decrypt,1MB,153.151,153.131,0.435,0.156,6529.5
AES-CTR,Encrypt,1MB,153.387,153.253,0.494,0.177,6519.46
AES-ECB,Decrypt,1MB,125.853,125.516,0.977,0.35,7945.8
AES-ECB,Encrypt,1MB,126.077,125.806,0.711,0.255,7931.68
AES-GCM,Decrypt,1MB,309.485,307.482,4.422,1.582,3231.18
AES-GCM,Encrypt,1MB,305.788,305.61,0.762,0.273,3270.24
AES-OFB,Decrypt,1MB,864.585,864.18,2.264,0.81,1156.62
AES-OFB,Encrypt,1MB,864.979,864.16,2.331,0.834,1156.1
AES-XTS,Decrypt,1MB,680.419,680.057,2.383,0.853,1469.68
AES-XTS,Encrypt,1MB,685.723,685.406,1.636,0.586,1458.31
AES-CBC,Decrypt,8MB,2836.36,2814.493,149.761,53.591,2820.52
AES-CBC,Encrypt,8MB,7840.079,7813.408,74.305,26.59,1020.4
AES-CCM,Decrypt,8MB,8681.333,8607.734,118.609,42.444,921.52
AES-CCM,Encrypt,8MB,8417.895,8393.25,163.232,58.412,950.36
AES-CFB,Decrypt,8MB,3579.079,3565.614,133.246,47.682,2235.21
AES-CFB,Encrypt,8MB,7386.679,7382.728,41.714,14.927,1083.03
AES-CTR,Decrypt,8MB,2904.74,2825.458,202.624,72.508,2754.12
AES-CTR,Encrypt,8MB,2789.098,2771.952,79.243,28.357,2868.31
AES-ECB,Decrypt,8MB,2244.331,2219.544,99.179,35.491,3564.54
AES-ECB,Encrypt,8MB,2182.6,2157.185,88.838,31.79,3665.35
AES-GCM,Decrypt,8MB,3260.524,3226.486,124.9,44.695,2453.59
AES-GCM,Encrypt,8MB,3386.049,3355.525,79.458,28.434,2362.64
AES-OFB,Decrypt,8MB,7832.118,7828.472,65.204,23.333,1021.44
AES-OFB,Encrypt,8MB,7836.41,7836.42,90.177,32.269,1020.88
AES-XTS,Decrypt,8MB,6319.06,6251.309,207.0,74.074,1266.01
AES-XTS,Encrypt,8MB,6328.681,6252.959,259.922,93.012,1264.09
